"","topic1","topic2","topic3","topic4","topic5"
"1","drug","women","vaccin","cathol","news"
"2","mifepriston","clinic","new","democrat","state"
"3","pill","march","covid-19","church","fox"
"4","fda","work","studi","communion","court"
"5","restrict","life","york","speech","suprem"
"6","approv","worker","women","senat","roe"
"7","file","want","health","codifi","law"
"8","lawsuit","itâ€™","citi","biden","ban"
"9","administr","woman","mother","candid","right"
"10","feder","stori","hospit","midterm","trump"
